Time,Open,High,Low,Close,Volume
2024-06-10 21:00:00,157.003,157.015,156.983,156.993,837
2024-06-10 21:15:00,156.993,157.003,156.992,156.998,511
2024-06-10 21:30:00,156.998,157.041,156.996,157.02,702
2024-06-10 21:45:00,157.021,157.092,157.021,157.078,904
2024-06-10 22:00:00,157.076,157.095,157.057,157.061,530
2024-06-10 22:15:00,157.061,157.065,157.034,157.046,565
2024-06-10 22:30:00,157.047,157.048,157.014,157.03,677
2024-06-10 22:45:00,157.031,157.04,157.007,157.012,564
2024-06-10 23:00:00,157.012,157.049,156.992,157.048,401
2024-06-10 23:15:00,157.047,157.051,157.032,157.041,186
2024-06-10 23:30:00,157.038,157.05,157.025,157.049,253
2024-06-10 23:45:00,157.051,157.058,157.029,157.031,200
2024-06-11 00:00:00,156.993,157.028,156.917,157.011,122
2024-06-11 00:15:00,157.012,157.039,156.984,157.009,160
2024-06-11 00:30:00,157.009,157.017,157.001,157.01,111
2024-06-11 00:45:00,157.012,157.018,156.997,157.002,376
2024-06-11 01:00:00,157.002,157.01,156.958,156.977,299
2024-06-11 01:15:00,156.978,157.004,156.958,156.976,774
2024-06-11 01:30:00,156.976,157.038,156.962,157.035,443
2024-06-11 01:45:00,157.036,157.038,157.008,157.033,276
2024-06-11 02:00:00,157.035,157.071,157.031,157.043,429
2024-06-11 02:15:00,157.043,157.072,157.032,157.057,379
2024-06-11 02:30:00,157.057,157.058,157.039,157.053,513
2024-06-11 02:45:00,157.053,157.056,157.018,157.044,516
2024-06-11 03:00:00,157.043,157.172,157.032,157.141,1272
2024-06-11 03:15:00,157.14,157.19,157.087,157.167,1088
2024-06-11 03:30:00,157.169,157.217,157.128,157.155,1099
2024-06-11 03:45:00,157.154,157.263,157.129,157.214,1491
2024-06-11 04:00:00,157.213,157.23,157.16,157.176,1294
2024-06-11 04:15:00,157.175,157.204,157.127,157.202,852
2024-06-11 04:30:00,157.203,157.237,157.186,157.198,1155
2024-06-11 04:45:00,157.198,157.223,157.176,157.221,825
2024-06-11 05:00:00,157.222,157.255,157.195,157.21,965
2024-06-11 05:15:00,157.211,157.217,157.188,157.213,750
2024-06-11 05:30:00,157.213,157.221,157.185,157.215,814
2024-06-11 05:45:00,157.216,157.287,157.214,157.287,858
2024-06-11 06:00:00,157.288,157.332,157.225,157.248,1033
2024-06-11 06:15:00,157.249,157.287,157.234,157.263,755
2024-06-11 06:30:00,157.262,157.28,157.224,157.23,788
2024-06-11 06:45:00,157.23,157.246,157.195,157.219,733
2024-06-11 07:00:00,157.219,157.23,157.201,157.222,756
2024-06-11 07:15:00,157.222,157.231,157.213,157.217,573
2024-06-11 07:30:00,157.219,157.28,157.215,157.271,745
2024-06-11 07:45:00,157.272,157.29,157.232,157.265,794
2024-06-11 08:00:00,157.265,157.294,157.25,157.276,615
2024-06-11 08:15:00,157.277,157.286,157.264,157.277,441
2024-06-11 08:30:00,157.278,157.301,157.157,157.262,933
2024-06-11 08:45:00,157.261,157.29,157.229,157.279,1054
2024-06-11 09:00:00,157.29,157.326,157.209,157.257,1324
2024-06-11 09:15:00,157.257,157.311,157.25,157.279,875
2024-06-11 09:30:00,157.28,157.307,157.245,157.252,1021
2024-06-11 09:45:00,157.253,157.28,157.22,157.277,777
2024-06-11 10:00:00,157.278,157.291,157.248,157.263,1236
2024-06-11 10:15:00,157.263,157.321,157.249,157.319,1077
2024-06-11 10:30:00,157.321,157.365,157.314,157.32,1132
2024-06-11 10:45:00,157.319,157.357,157.318,157.341,1079
2024-06-11 11:00:00,157.339,157.353,157.298,157.352,869
2024-06-11 11:15:00,157.351,157.388,157.35,157.385,927
2024-06-11 11:30:00,157.385,157.385,157.35,157.379,652
2024-06-11 11:45:00,157.38,157.393,157.194,157.217,1123
2024-06-11 12:00:00,157.218,157.284,157.142,157.254,1787
2024-06-11 12:15:00,157.254,157.29,157.229,157.26,1065
2024-06-11 12:30:00,157.259,157.282,157.205,157.222,1204
2024-06-11 12:45:00,157.222,157.248,157.196,157.246,1104
2024-06-11 13:00:00,157.245,157.247,157.151,157.181,1130
2024-06-11 13:15:00,157.181,157.214,157.158,157.209,894
2024-06-11 13:30:00,157.205,157.214,157.112,157.134,1060
2024-06-11 13:45:00,157.134,157.143,157.085,157.095,1232
2024-06-11 14:00:00,157.095,157.173,157.063,157.173,1270
2024-06-11 14:15:00,157.172,157.177,157.106,157.141,1315
2024-06-11 14:30:00,157.141,157.155,157.052,157.061,1247
